Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2731","Viande de Bovins","2017","2017","kg","2.92","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2731","Viande de Bovins","2017","2017","Kcal/personne/jour","16.37","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2731","Viande de Bovins","2017","2017","g/personne/jour","1.22","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2732","Viande d'Ovins/Caprins","2017","2017","kg","4.45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2732","Viande d'Ovins/Caprins","2017","2017","Kcal/personne/jour","23.57","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","2.05","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2733","Viande de porcins","2017","2017","kg","0.02","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2733","Viande de porcins","2017","2017","Kcal/personne/jour","0.12","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2733","Viande de porcins","2017","2017","g/personne/jour","0.01","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2017","2017","kg","1.79","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2017","2017","Kcal/personne/jour","6.78","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2017","2017","g/personne/jour","0.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2735","Viande, Autre","2017","2017","kg","0.33","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2735","Viande, Autre","2017","2017","Kcal/personne/jour","1.25","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2735","Viande, Autre","2017","2017","g/personne/jour","0.17","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2736","Abats Comestible","2017","2017","kg","1.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2736","Abats Comestible","2017","2017","Kcal/personne/jour","4.57","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2736","Abats Comestible","2017","2017","g/personne/jour","0.6","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2740","Beurre, Ghee","2017","2017","kg","1.16","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2740","Beurre, Ghee","2017","2017","Kcal/personne/jour","23.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2740","Beurre, Ghee","2017","2017","g/personne/jour","0.02","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2743","Crème","2017","2017","kg","0.01","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2743","Crème","2017","2017","Kcal/personne/jour","0.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2743","Crème","2017","2017","g/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2737","Graisses Animales Crue","2017","2017","kg","0.34","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2737","Graisses Animales Crue","2017","2017","Kcal/personne/jour","6.25","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2737","Graisses Animales Crue","2017","2017","g/personne/jour","0.06","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2744","Oeufs","2017","2017","kg","1.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2744","Oeufs","2017","2017","Kcal/personne/jour","6.37","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2744","Oeufs","2017","2017","g/personne/jour","0.57","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2848","Lait - Excl Beurre","2017","2017","kg","52.83","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2848","Lait - Excl Beurre","2017","2017","Kcal/personne/jour","99.67","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2848","Lait - Excl Beurre","2017","2017","g/personne/jour","6.15","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2761","Poissons Eau Douce","2017","2017","kg","0.25","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2761","Poissons Eau Douce","2017","2017","Kcal/personne/jour","0.54","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2761","Poissons Eau Douce","2017","2017","g/personne/jour","0.08","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2762","Perciform","2017","2017","kg","0.18","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2762","Perciform","2017","2017","Kcal/personne/jour","0.21","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","S2762","Perciform","2017","2017","g/personne/jour","0.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2731","Viande de Bovins","2017","2017","kg","17.65","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2731","Viande de Bovins","2017","2017","Kcal/personne/jour","99.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2731","Viande de Bovins","2017","2017","g/personne/jour","7.37","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2732","Viande d'Ovins/Caprins","2017","2017","kg","3.21","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2732","Viande d'Ovins/Caprins","2017","2017","Kcal/personne/jour","19","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","1.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2733","Viande de porcins","2017","2017","kg","3.99","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2733","Viande de porcins","2017","2017","Kcal/personne/jour","25.67","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2733","Viande de porcins","2017","2017","g/personne/jour","1.52","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2734","Viande de Volailles","2017","2017","kg","37.25","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2017","2017","Kcal/personne/jour","140.29","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2734","Viande de Volailles","2017","2017","g/personne/jour","16.84","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2735","Viande, Autre","2017","2017","kg","0.82","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2735","Viande, Autre","2017","2017","Kcal/personne/jour","3.14","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2735","Viande, Autre","2017","2017","g/personne/jour","0.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2736","Abats Comestible","2017","2017","kg","5.09","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2736","Abats Comestible","2017","2017","Kcal/personne/jour","17.12","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2736","Abats Comestible","2017","2017","g/personne/jour","2.16","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2740","Beurre, Ghee","2017","2017","kg","0.31","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2740","Beurre, Ghee","2017","2017","Kcal/personne/jour","6.24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2740","Beurre, Ghee","2017","2017","g/personne/jour","0.01","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2743","Crème","2017","2017","kg","0.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2743","Crème","2017","2017","Kcal/personne/jour","0.25","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2743","Crème","2017","2017","g/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2737","Graisses Animales Crue","2017","2017","kg","0.19","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2737","Graisses Animales Crue","2017","2017","Kcal/personne/jour","3.74","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2737","Graisses Animales Crue","2017","2017","g/personne/jour","0.01","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2781","Huiles de Poissons","2017","2017","kg","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2781","Huiles de Poissons","2017","2017","Kcal/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2781","Huiles de Poissons","2017","2017","g/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2782","Huiles de Foie de Poisso","2017","2017","kg","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2782","Huiles de Foie de Poisso","2017","2017","Kcal/personne/jour","0.03","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2782","Huiles de Foie de Poisso","2017","2017","g/personne/jour","0","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2744","Oeufs","2017","2017","kg","5.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2744","Oeufs","2017","2017","Kcal/personne/jour","21.15","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2744","Oeufs","2017","2017","g/personne/jour","1.81","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2848","Lait - Excl Beurre","2017","2017","kg","52.04","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2848","Lait - Excl Beurre","2017","2017","Kcal/personne/jour","93.08","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2848","Lait - Excl Beurre","2017","2017","g/personne/jour","4.57","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2761","Poissons Eau Douce","2017","2017","kg","0.25","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","S2761","Poissons Eau Douce","2017","2017","Kcal/personne/jour","0.48","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","S2761","Poissons Eau Douce","2017","2017","g/personne/jour","0.07","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","S2762","Perciform","2017","2017","kg","2.75","E","Valeur estimée"
